user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What was the company's cash position at the end of Q3 2025?,The company's cash position at the end of Q3 2025 was EUR 31 million [1].,The quarter closed with a cash position of EUR 31 million and no outstanding debt.,1.0,1.0,0.9999999999,0.1428571428571428
How much revenue did software subscriptions contribute in Q3 2025?,Software subscriptions contributed EUR 4.2 million in revenue in Q3 2025 [2].,"Software subscriptions contributed EUR 4.2 million, growing 38% year over year.",1.0,0.6859944418500659,0.49999999995,1.0
How much did Northwind spend on research and development in Q3 2025?,Northwind Robotics spent EUR 3.8 million on research and development in Q3 2025 [2].,"R&D spending reached EUR 3.8 million, representing 21% of quarterly revenue.",1.0,0.9326157615237444,0.49999999995,1.0
What is the revenue guidance for Q4 2025?,The revenue guidance for Q4 is EUR 20 to 21 million [1].,Management guides fourth-quarter revenue of EUR 20 to 21 million.,1.0,0.9336454378082008,0.9999999999,0.0769230769230769
What are the current lead times for solid-state lidar units?,The current lead times for solid-state lidar units remain elevated at 26 weeks [1].,Lead times for solid-state lidar units remain elevated at 26 weeks.,1.0,1.0,0.99999999995,1.0
How many robots were deployed in the Rotterdam pilot and for how long did it run?,"40 Atlas P-100 robots were deployed [1] in the Rotterdam pilot, which ran for 12 weeks [1], from March through May 2025 [1].","The 12-week pilot deployed 40 Atlas P-100 robots at the Rotterdam distribution center, running from March through May 2025.",1.0,0.8700171347144339,0.9999999999,1.0
What was the primary metric used in the Rotterdam pilot study?,The primary metric used in the Rotterdam pilot study was picks per hour per worker [1].,The primary metric was picks per hour per worker.,1.0,1.0000000000000002,0.9999999999,1.0
By how much did throughput increase in the robot-assisted zone during the pilot?,Throughput in Zone A increased by 34% compared to the control zone [1].,Zone A throughput increased by 34% compared to the control zone.,1.0,0.6964682170463533,0.99999999995,0.0666666666666666
What happened to the mis-pick error rate during the Rotterdam pilot?,The mis-pick error rate fell from 1.8% to 0.4% over the pilot period [1].,The mis-pick error rate fell from 1.8% to 0.4% over the pilot period.,1.0,0.9296329726171404,0.99999999995,0.25
What was the mean time between failures across the robot fleet in the pilot?,The mean time between failures (MTBF) across the fleet was 410 hours [1].,Mean time between failures (MTBF) across the fleet was 410 hours.,1.0,0.8329249517502056,0.9999999999,1.0
What is the projected return on investment period from the pilot study?,The projected return on investment period is 14 months [1].,The projected return on investment period is 14 months.,1.0,0.9140172548934828,0.9999999999,1.0
